"TimeGenerated","Source","EntryType","Message"
"3/11/2026 7:40:25 PM","Microsoft-Windows-WindowsUpdateClient","Information","Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.445.478.0) - Current Channel (Broad)"
"3/11/2026 7:40:20 PM","Microsoft-Windows-Power-Troubleshooter","Information","The system has returned from a low power state.

Sleep Time: 2026-03-11T14:01:30.6908350Z
Wake Time: 2026-03-11T14:10:18.6544819Z

Wake Source: 5Microsoft AC Adapter"
"3/11/2026 7:40:18 PM","BTHUSB","Warning","The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
"3/11/2026 7:40:18 PM","BTHUSB","Information","Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup."
"3/11/2026 7:40:15 PM","Microsoft-Windows-Kernel-General","Information","Possible detection of CVE: 2026-03-11T14:10:15.5000000Z
Additional Information: 2026-03-11T14:01:33.1174717Z

This Event is generated when an attempt to exploit a known vulnerability (2026-03-11T14:10:15.5000000Z) is detected.
This Event is raised by a User mode process.
"
"3/11/2026 7:31:33 PM","Microsoft-Windows-Kernel-Power","Information","The description for Event ID '107' in Source 'Microsoft-Windows-Kernel-Power' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'4', '4', '4', '2026-03-11T17:01:32.1637554Z', '2026-03-11T17:01:32.1637554Z', '4', '4'"
"3/11/2026 7:31:32 PM","Microsoft-Windows-Kernel-Power","Information","The description for Event ID '42' in Source 'Microsoft-Windows-Kernel-Power' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'4', '4', '0', '4', '1'"
"3/11/2026 7:31:27 PM","Microsoft-Windows-WindowsUpdateClient","Information","Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.445.478.0) - Current Channel (Broad)"
"3/11/2026 7:31:27 PM","Microsoft-Windows-WindowsUpdateClient","Information","Windows Update started downloading an update."
"3/11/2026 7:22:57 PM","DCOM","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.WscDataProtection', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'"
"3/11/2026 7:22:57 PM","DCOM","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.WscBrokerManager', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'"
"3/11/2026 7:22:57 PM","DCOM","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'application-specific', 'Local', 'Launch', 'Windows.SecurityCenter.SecurityAppBroker', 'Unavailable', 'NT AUTHORITY', 'SYSTEM', 'S-1-5-18', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'"
"3/11/2026 7:22:49 PM","Microsoft-Windows-Kernel-Processor-Power","Warning","The speed of Hyper-V logical processor 2 is being limited by system firmware. The processor has been in this reduced performance state for 3 seconds since the last report."
"3/11/2026 7:22:49 PM","Microsoft-Windows-Kernel-Processor-Power","Warning","The speed of Hyper-V logical processor 0 is being limited by system firmware. The processor has been in this reduced performance state for 3 seconds since the last report."
"3/11/2026 7:22:49 PM","Microsoft-Windows-Kernel-Processor-Power","Warning","The speed of Hyper-V logical processor 6 is being limited by system firmware. The processor has been in this reduced performance state for 3 seconds since the last report."
"3/11/2026 7:22:49 PM","Microsoft-Windows-Kernel-Processor-Power","Warning","The speed of Hyper-V logical processor 1 is being limited by system firmware. The processor has been in this reduced performance state for 3 seconds since the last report."
